ax,ay,az,gx,gy,gz
0.3085,9.7526,0.8022,0.064,0.0705,0.0081
0.3379,9.8066,0.8069,0.0656,0.0721,0.0065
0.397,9.8456,0.7654,0.064,0.0689,0.0081
0.4204,9.8816,0.722,0.0674,0.0578,0.0048
0.4571,9.8928,0.7174,0.0815,0.0371,-0.0013
0.4909,9.9154,0.7196,0.0908,0.0147,-0.0009
0.5069,9.9199,0.7011,0.0893,0.0003,-0.0009
0.5137,9.9292,0.6942,0.0909,-0.0174,0.0057
0.4852,9.9575,0.6917,0.0908,-0.0222,0.0042
0.4496,10.0311,0.671,0.0893,-0.0286,0.0025
0.4044,10.1331,0.5858,0.094,-0.0318,0.0043
0.3458,10.2335,0.4293,0.1251,-0.0429,0.005
0.3017,10.3224,0.3329,0.1655,-0.046,0.0108
0.2852,10.3509,0.3191,0.1994,-0.033,0.0099
0.2549,10.394,0.3491,0.2396,-0.0185,0.0124
0.2563,10.4195,0.3443,0.2687,-0.0105,0.0197
0.2601,10.4425,0.2497,0.2856,-0.0023,0.0153
0.3042,10.5284,0.0536,0.3425,0.0042,0.0217
0.3977,10.6194,-0.1995,0.4077,-0.0179,0.0216
0.4748,10.6696,-0.4107,0.4856,-0.0431,0.0168
0.5513,10.6475,-0.5336,0.5764,-0.0812,0.0194
0.6097,10.5709,-0.6189,0.6538,-0.1209,0.0231
0.6327,10.4916,-0.6576,0.7131,-0.1476,0.0082
0.6191,10.4036,-0.711,0.767,-0.1488,-0.0002
0.4692,10.3864,-0.9001,0.7808,-0.1455,-0.0014
0.3228,10.4567,-1.1398,0.7947,-0.1583,0.0023
0.2624,10.5576,-1.3721,0.8658,-0.1422,0.0136
0.2741,10.5744,-1.5148,0.9183,-0.1166,0.0278
0.2867,10.3959,-1.6066,1.008,-0.1054,0.0494
0.2637,9.9824,-1.7153,1.1436,-0.1051,0.0643
0.2241,9.3461,-1.8952,1.3384,-0.1218,0.0627
0.1611,8.552,-1.9577,1.5672,-0.164,0.0668
0.1174,7.7368,-2.0062,1.7342,-0.1923,0.0743
0.0184,6.6545,-2.1764,1.8379,-0.1724,0.0635
-0.0887,5.186,-2.4235,1.8652,-0.1093,0.0397
-0.0773,3.6615,-2.5061,1.7384,-0.0196,0.0084
-0.0422,2.324,-2.292,1.5401,0.0874,-0.0197
-0.0777,1.357,-1.8525,1.4389,0.1734,-0.019
-0.0323,0.6901,-1.1932,1.4591,0.2038,-0.0106
-0.004,0.2765,-0.5923,1.5127,0.2244,0.0152
0.0379,0.0968,-0.15,1.573,0.1985,0.0429
-0.0437,0.1568,0.2254,1.6473,0.1471,0.0661
-0.0533,0.6924,0.4213,1.7003,0.0781,0.0823
-0.0638,1.4544,0.4722,1.6929,0.0055,0.1117
-0.0781,2.0835,0.237,1.7249,0.0389,0.1271
0.0112,2.6677,-0.2348,1.7601,0.124,0.126
0.1869,3.1801,-0.7088,1.8123,0.2429,0.1218
0.2224,3.5611,-0.8863,1.9092,0.3014,0.1029
0.1701,3.8306,-0.4947,1.9465,0.2894,0.0696
0.0239,4.0827,-0.1676,1.9516,0.2322,0.047
-0.1492,4.1927,-0.0484,2.0383,0.1721,0.0234
-0.0128,4.5981,-0.6428,2.0722,0.1936,-0.0036
0.2291,5.3912,-1.137,2.1031,0.2898,-0.0001
0.3757,6.1755,-1.211,2.1393,0.3844,0.0039
0.4209,6.7003,-0.9624,2.0867,0.3713,0.0076
0.4594,7.0555,-1.0914,2.0316,0.2685,0.0099
0.4452,7.3976,-1.5221,1.9783,0.1253,0.0286
0.4143,7.6604,-2.0932,1.9792,0.0018,0.0387
0.4904,7.7264,-2.4622,2.0392,-0.0191,0.0534
0.8235,7.6894,-2.4939,2.0116,-0.0145,0.0591
1.0741,7.6614,-2.5633,1.9324,0.0153,0.0752
1.0772,7.7171,-2.6847,1.8289,0.0531,0.0837
1.0856,7.9507,-2.826,1.7281,0.0482,0.0636
1.1622,8.3091,-3.2931,1.644,-0.0269,0.0355
1.2097,9.0589,-3.5701,1.5856,-0.116,-0.0095
1.1251,9.958,-3.673,1.534,-0.1635,-0.0517
